nx,nfacet,value,perm_id
2,2,0.041,1
2,2,0.042,2
2,2,0.04,3
2,2,0.041,4
2,2,0.052,5
2,2,0.032,6
2,2,0.05,7
2,2,0.038,8
2,2,0.038,9
2,2,0.044,10
2,2,0.038,11
2,2,0.037,12
2,2,0.037,13
2,2,0.038,14
2,2,0.051,15
2,2,0.051,16
2,2,0.043,17
2,2,0.046,18
2,2,0.045,19
2,2,0.038,20
2,2,0.038,21
2,2,0.043,22
2,2,0.044,23
2,2,0.04,24
2,2,0.042,25
2,2,0.05,26
2,2,0.041,27
2,2,0.036,28
2,2,0.046,29
2,2,0.038,30
2,2,0.038,31
2,2,0.043,32
2,2,0.037,33
2,2,0.04,34
2,2,0.053,35
2,2,0.04,36
2,2,0.045,37
2,2,0.043,38
2,2,0.043,39
2,2,0.035,40
2,2,0.039,41
2,2,0.041,42
2,2,0.04,43
2,2,0.042,44
2,2,0.044,45
2,2,0.034,46
2,2,0.041,47
2,2,0.051,48
2,2,0.051,49
2,2,0.039,50
2,2,0.037,51
2,2,0.035,52
2,2,0.039,53
2,2,0.04,54
2,2,0.041,55
2,2,0.04,56
2,2,0.041,57
2,2,0.047,58
2,2,0.043,59
2,2,0.05,60
2,2,0.034,61
2,2,0.046,62
2,2,0.037,63
2,2,0.037,64
2,2,0.042,65
2,2,0.041,66
2,2,0.053,67
2,2,0.04,68
2,2,0.041,69
2,2,0.051,70
2,2,0.044,71
2,2,0.049,72
2,2,0.047,73
2,2,0.035,74
2,2,0.043,75
2,2,0.047,76
2,2,0.04,77
2,2,0.042,78
2,2,0.039,79
2,2,0.046,80
2,2,0.039,81
2,2,0.036,82
2,2,0.039,83
2,2,0.044,84
2,2,0.04,85
2,2,0.042,86
2,2,0.04,87
2,2,0.042,88
2,2,0.046,89
2,2,0.044,90
2,2,0.044,91
2,2,0.043,92
2,2,0.039,93
2,2,0.042,94
2,2,0.051,95
2,2,0.047,96
2,2,0.044,97
2,2,0.057,98
2,2,0.044,99
2,2,0.044,100
2,2,0.045,101
2,2,0.036,102
2,2,0.035,103
2,2,0.044,104
2,2,0.047,105
2,2,0.043,106
2,2,0.043,107
2,2,0.042,108
2,2,0.037,109
2,2,0.04,110
2,2,0.041,111
2,2,0.045,112
2,2,0.038,113
2,2,0.042,114
2,2,0.036,115
2,2,0.037,116
2,2,0.041,117
2,2,0.04,118
2,2,0.041,119
2,2,0.036,120
2,2,0.04,121
2,2,0.049,122
2,2,0.041,123
2,2,0.048,124
2,2,0.042,125
2,2,0.043,126
2,2,0.045,127
2,2,0.037,128
2,2,0.045,129
2,2,0.045,130
2,2,0.05,131
2,2,0.04,132
2,2,0.047,133
2,2,0.042,134
2,2,0.04,135
2,2,0.045,136
2,2,0.044,137
2,2,0.045,138
2,2,0.043,139
2,2,0.044,140
2,2,0.039,141
2,2,0.041,142
2,2,0.043,143
2,2,0.044,144
2,2,0.042,145
2,2,0.036,146
2,2,0.047,147
2,2,0.048,148
2,2,0.042,149
2,2,0.049,150
2,2,0.048,151
2,2,0.042,152
2,2,0.042,153
2,2,0.04,154
2,2,0.042,155
2,2,0.045,156
2,2,0.038,157
2,2,0.046,158
2,2,0.04,159
2,2,0.041,160
2,2,0.043,161
2,2,0.047,162
2,2,0.042,163
2,2,0.038,164
2,2,0.035,165
2,2,0.046,166
2,2,0.049,167
2,2,0.04,168
2,2,0.046,169
2,2,0.048,170
2,2,0.047,171
2,2,0.043,172
2,2,0.046,173
2,2,0.043,174
2,2,0.041,175
2,2,0.041,176
2,2,0.047,177
2,2,0.038,178
2,2,0.038,179
2,2,0.042,180
2,2,0.051,181
2,2,0.042,182
2,2,0.04,183
2,2,0.033,184
2,2,0.045,185
2,2,0.038,186
2,2,0.041,187
2,2,0.048,188
2,2,0.038,189
2,2,0.04,190
2,2,0.037,191
2,2,0.055,192
2,2,0.038,193
2,2,0.043,194
2,2,0.037,195
2,2,0.038,196
2,2,0.043,197
2,2,0.047,198
2,2,0.048,199
2,2,0.042,200
3,2,0.039,1
3,2,0.05,2
3,2,0.043,3
3,2,0.039,4
3,2,0.048,5
3,2,0.047,6
3,2,0.043,7
3,2,0.049,8
3,2,0.044,9
3,2,0.041,10
3,2,0.047,11
3,2,0.055,12
3,2,0.04,13
3,2,0.043,14
3,2,0.038,15
3,2,0.044,16
3,2,0.044,17
3,2,0.04,18
3,2,0.044,19
3,2,0.043,20
3,2,0.052,21
3,2,0.05,22
3,2,0.04,23
3,2,0.051,24
3,2,0.045,25
3,2,0.048,26
3,2,0.039,27
3,2,0.052,28
3,2,0.051,29
3,2,0.048,30
3,2,0.044,31
3,2,0.043,32
3,2,0.051,33
3,2,0.047,34
3,2,0.046,35
3,2,0.038,36
3,2,0.049,37
3,2,0.044,38
3,2,0.046,39
3,2,0.045,40
3,2,0.048,41
3,2,0.044,42
3,2,0.041,43
3,2,0.047,44
3,2,0.046,45
3,2,0.059,46
3,2,0.042,47
3,2,0.048,48
3,2,0.049,49
3,2,0.044,50
3,2,0.043,51
3,2,0.044,52
3,2,0.052,53
3,2,0.043,54
3,2,0.049,55
3,2,0.041,56
3,2,0.042,57
3,2,0.038,58
3,2,0.045,59
3,2,0.049,60
3,2,0.046,61
3,2,0.041,62
3,2,0.043,63
3,2,0.042,64
3,2,0.04,65
3,2,0.043,66
3,2,0.044,67
3,2,0.05,68
3,2,0.039,69
3,2,0.045,70
3,2,0.044,71
3,2,0.041,72
3,2,0.044,73
3,2,0.044,74
3,2,0.046,75
3,2,0.048,76
3,2,0.042,77
3,2,0.037,78
3,2,0.045,79
3,2,0.045,80
3,2,0.046,81
3,2,0.039,82
3,2,0.042,83
3,2,0.042,84
3,2,0.054,85
3,2,0.05,86
3,2,0.044,87
3,2,0.043,88
3,2,0.045,89
3,2,0.039,90
3,2,0.045,91
3,2,0.04,92
3,2,0.043,93
3,2,0.049,94
3,2,0.049,95
3,2,0.039,96
3,2,0.042,97
3,2,0.044,98
3,2,0.045,99
3,2,0.041,100
3,2,0.047,101
3,2,0.039,102
3,2,0.045,103
3,2,0.045,104
3,2,0.047,105
3,2,0.048,106
3,2,0.047,107
3,2,0.039,108
3,2,0.038,109
3,2,0.046,110
3,2,0.045,111
3,2,0.042,112
3,2,0.041,113
3,2,0.047,114
3,2,0.046,115
3,2,0.043,116
3,2,0.046,117
3,2,0.049,118
3,2,0.043,119
3,2,0.049,120
3,2,0.041,121
3,2,0.046,122
3,2,0.042,123
3,2,0.047,124
3,2,0.037,125
3,2,0.043,126
3,2,0.051,127
3,2,0.043,128
3,2,0.044,129
3,2,0.046,130
3,2,0.05,131
3,2,0.042,132
3,2,0.04,133
3,2,0.041,134
3,2,0.048,135
3,2,0.043,136
3,2,0.046,137
3,2,0.049,138
3,2,0.053,139
3,2,0.044,140
3,2,0.042,141
3,2,0.052,142
3,2,0.043,143
3,2,0.055,144
3,2,0.05,145
3,2,0.049,146
3,2,0.055,147
3,2,0.04,148
3,2,0.041,149
3,2,0.046,150
3,2,0.045,151
3,2,0.045,152
3,2,0.05,153
3,2,0.059,154
3,2,0.046,155
3,2,0.043,156
3,2,0.043,157
3,2,0.041,158
3,2,0.049,159
3,2,0.043,160
3,2,0.043,161
3,2,0.042,162
3,2,0.045,163
3,2,0.043,164
3,2,0.044,165
3,2,0.05,166
3,2,0.043,167
3,2,0.04,168
3,2,0.039,169
3,2,0.044,170
3,2,0.05,171
3,2,0.049,172
3,2,0.046,173
3,2,0.051,174
3,2,0.039,175
3,2,0.046,176
3,2,0.044,177
3,2,0.049,178
3,2,0.048,179
3,2,0.052,180
3,2,0.039,181
3,2,0.04,182
3,2,0.045,183
3,2,0.037,184
3,2,0.036,185
3,2,0.041,186
3,2,0.045,187
3,2,0.047,188
3,2,0.038,189
3,2,0.04,190
3,2,0.047,191
3,2,0.05,192
3,2,0.046,193
3,2,0.055,194
3,2,0.042,195
3,2,0.044,196
3,2,0.043,197
3,2,0.046,198
3,2,0.047,199
3,2,0.046,200
5,2,0.047,1
5,2,0.047,2
5,2,0.047,3
5,2,0.046,4
5,2,0.05,5
5,2,0.051,6
5,2,0.045,7
5,2,0.043,8
5,2,0.053,9
5,2,0.052,10
5,2,0.046,11
5,2,0.046,12
5,2,0.042,13
5,2,0.05,14
5,2,0.053,15
5,2,0.047,16
5,2,0.048,17
5,2,0.05,18
5,2,0.048,19
5,2,0.048,20
5,2,0.046,21
5,2,0.048,22
5,2,0.046,23
5,2,0.051,24
5,2,0.044,25
5,2,0.046,26
5,2,0.042,27
5,2,0.048,28
5,2,0.049,29
5,2,0.042,30
5,2,0.041,31
5,2,0.046,32
5,2,0.047,33
5,2,0.045,34
5,2,0.047,35
5,2,0.044,36
5,2,0.046,37
5,2,0.045,38
5,2,0.045,39
5,2,0.046,40
5,2,0.048,41
5,2,0.038,42
5,2,0.046,43
5,2,0.047,44
5,2,0.043,45
5,2,0.051,46
5,2,0.046,47
5,2,0.039,48
5,2,0.055,49
5,2,0.045,50
5,2,0.045,51
5,2,0.043,52
5,2,0.046,53
5,2,0.05,54
5,2,0.047,55
5,2,0.049,56
5,2,0.051,57
5,2,0.047,58
5,2,0.044,59
5,2,0.042,60
5,2,0.046,61
5,2,0.045,62
5,2,0.046,63
5,2,0.05,64
5,2,0.045,65
5,2,0.044,66
5,2,0.046,67
5,2,0.043,68
5,2,0.044,69
5,2,0.047,70
5,2,0.048,71
5,2,0.044,72
5,2,0.045,73
5,2,0.041,74
5,2,0.052,75
5,2,0.05,76
5,2,0.048,77
5,2,0.047,78
5,2,0.049,79
5,2,0.05,80
5,2,0.047,81
5,2,0.043,82
5,2,0.05,83
5,2,0.045,84
5,2,0.049,85
5,2,0.051,86
5,2,0.055,87
5,2,0.049,88
5,2,0.049,89
5,2,0.046,90
5,2,0.048,91
5,2,0.049,92
5,2,0.052,93
5,2,0.052,94
5,2,0.05,95
5,2,0.05,96
5,2,0.05,97
5,2,0.047,98
5,2,0.044,99
5,2,0.046,100
5,2,0.047,101
5,2,0.047,102
5,2,0.05,103
5,2,0.045,104
5,2,0.05,105
5,2,0.051,106
5,2,0.046,107
5,2,0.043,108
5,2,0.047,109
5,2,0.048,110
5,2,0.043,111
5,2,0.05,112
5,2,0.045,113
5,2,0.045,114
5,2,0.051,115
5,2,0.047,116
5,2,0.05,117
5,2,0.044,118
5,2,0.05,119
5,2,0.044,120
5,2,0.047,121
5,2,0.049,122
5,2,0.048,123
5,2,0.046,124
5,2,0.044,125
5,2,0.049,126
5,2,0.045,127
5,2,0.049,128
5,2,0.048,129
5,2,0.04,130
5,2,0.049,131
5,2,0.049,132
5,2,0.047,133
5,2,0.057,134
5,2,0.045,135
5,2,0.051,136
5,2,0.047,137
5,2,0.049,138
5,2,0.051,139
5,2,0.044,140
5,2,0.056,141
5,2,0.047,142
5,2,0.044,143
5,2,0.044,144
5,2,0.049,145
5,2,0.05,146
5,2,0.042,147
5,2,0.042,148
5,2,0.043,149
5,2,0.046,150
5,2,0.048,151
5,2,0.045,152
5,2,0.046,153
5,2,0.045,154
5,2,0.056,155
5,2,0.045,156
5,2,0.049,157
5,2,0.043,158
5,2,0.048,159
5,2,0.049,160
5,2,0.045,161
5,2,0.047,162
5,2,0.049,163
5,2,0.041,164
5,2,0.051,165
5,2,0.042,166
5,2,0.044,167
5,2,0.043,168
5,2,0.055,169
5,2,0.058,170
5,2,0.045,171
5,2,0.046,172
5,2,0.045,173
5,2,0.048,174
5,2,0.051,175
5,2,0.042,176
5,2,0.049,177
5,2,0.044,178
5,2,0.049,179
5,2,0.05,180
5,2,0.042,181
5,2,0.05,182
5,2,0.049,183
5,2,0.048,184
5,2,0.048,185
5,2,0.049,186
5,2,0.044,187
5,2,0.044,188
5,2,0.045,189
5,2,0.045,190
5,2,0.056,191
5,2,0.045,192
5,2,0.041,193
5,2,0.043,194
5,2,0.044,195
5,2,0.04,196
5,2,0.047,197
5,2,0.045,198
5,2,0.048,199
5,2,0.046,200
7,2,0.044,1
7,2,0.049,2
7,2,0.05,3
7,2,0.048,4
7,2,0.058,5
7,2,0.05,6
7,2,0.052,7
7,2,0.049,8
7,2,0.046,9
7,2,0.05,10
7,2,0.053,11
7,2,0.048,12
7,2,0.048,13
7,2,0.053,14
7,2,0.05,15
7,2,0.048,16
