nperm,ntimes,dist,nfacet,nx,design,seed,w,type
10,5,N01,5,5,null,1500,1,norm-nperm
30,5,N01,5,5,null,1500,1,norm-nperm
50,5,N01,5,5,null,1500,1,norm-nperm
100,5,N01,5,5,null,1500,1,norm-nperm
300,5,N01,5,5,null,1500,1,norm-nperm
10,30,N01,5,5,null,1500,1,norm-nperm
30,30,N01,5,5,null,1500,1,norm-nperm
50,30,N01,5,5,null,1500,1,norm-nperm
100,30,N01,5,5,null,1500,1,norm-nperm
300,30,N01,5,5,null,1500,1,norm-nperm
10,100,N01,5,5,null,1500,1,norm-nperm
30,100,N01,5,5,null,1500,1,norm-nperm
50,100,N01,5,5,null,1500,1,norm-nperm
100,100,N01,5,5,null,1500,1,norm-nperm
300,100,N01,5,5,null,1500,1,norm-nperm
10,500,N01,5,5,null,1500,1,norm-nperm
30,500,N01,5,5,null,1500,1,norm-nperm
50,500,N01,5,5,null,1500,1,norm-nperm
100,500,N01,5,5,null,1500,1,norm-nperm
300,500,N01,5,5,null,1500,1,norm-nperm
10,5,N01,7,5,null,1500,1,norm-nperm
30,5,N01,7,5,null,1500,1,norm-nperm
50,5,N01,7,5,null,1500,1,norm-nperm
100,5,N01,7,5,null,1500,1,norm-nperm
300,5,N01,7,5,null,1500,1,norm-nperm
10,30,N01,7,5,null,1500,1,norm-nperm
30,30,N01,7,5,null,1500,1,norm-nperm
50,30,N01,7,5,null,1500,1,norm-nperm
100,30,N01,7,5,null,1500,1,norm-nperm
300,30,N01,7,5,null,1500,1,norm-nperm
10,100,N01,7,5,null,1500,1,norm-nperm
30,100,N01,7,5,null,1500,1,norm-nperm
50,100,N01,7,5,null,1500,1,norm-nperm
100,100,N01,7,5,null,1500,1,norm-nperm
300,100,N01,7,5,null,1500,1,norm-nperm
10,500,N01,7,5,null,1500,1,norm-nperm
30,500,N01,7,5,null,1500,1,norm-nperm
50,500,N01,7,5,null,1500,1,norm-nperm
100,500,N01,7,5,null,1500,1,norm-nperm
300,500,N01,7,5,null,1500,1,norm-nperm
10,5,N01,14,5,null,1500,1,norm-nperm
30,5,N01,14,5,null,1500,1,norm-nperm
50,5,N01,14,5,null,1500,1,norm-nperm
100,5,N01,14,5,null,1500,1,norm-nperm
300,5,N01,14,5,null,1500,1,norm-nperm
10,30,N01,14,5,null,1500,1,norm-nperm
30,30,N01,14,5,null,1500,1,norm-nperm
50,30,N01,14,5,null,1500,1,norm-nperm
100,30,N01,14,5,null,1500,1,norm-nperm
300,30,N01,14,5,null,1500,1,norm-nperm
